Cultivar,Samle_Number,T=1,T=3,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29,T=31,T=33,T=35,T=37,T=39,T=41,T=43,T=45,T=47,T=49,T=51,T=53,T=55,T=57,T=59,T=61,T=63,T=65,T=67,T=69,T=73,T=75,T=77,T=79,T=81,T=85,T=89,T=91,T=93,T=95,T=97,T=99,T=101,T=103,T=105,T=107,T=109,T=111,T=113,T=115,T=117,T=119,T=121,T=123,T=125,T=127
Daejinbyeo,2 ,103.3590139,101.6361543,101.5997499,102.9508239,100.4418835,100.9843207,101.3844216,101.8229823,97.91016573,99.9939623,99.87922293,96.3872996,96.75456477,91.06353138,90.83794961,90.00294444,90.79882449,92.1692832,90.01377536,89.62832637,88.83535421,89.66159865,89.68659643,89.15771521,89.00006675,87.95858137,89.46294084,89.61584072,90.29345377,91.46965522,95.46896668,97.77664188,95.8395187,95.90235201,94.14619723,95.30984481,97.24785947,97.7173831,100.6760924,101.4524449,103.2620731,111.0385821,115.3065066,113.9646448,117.5901786,115.4543504,116.5926159,117.5795186,125.7692957,123.6654797,124.1398494,126.1433021,130.1490515,133.218699,137.5210574,141.1231415,140.4940996,142.7794965,146.6846268,148.094349,154.1751222
Daejinbyeo,3 ,105.0276949,105.8834835,110.1181877,106.1050929,103.6773032,102.7533174,100.989532,101.4577707,99.05990471,100.1802525,98.4661841,93.91942372,95.80538459,94.70298507,89.93368592,91.23738383,88.93152417,90.67815671,88.41722886,92.29625877,87.94356939,90.69550789,90.35072973,93.94438121,93.27112896,93.64890231,98.13759339,96.83385303,96.88206487,97.22122579,100.9358655,103.3402074,100.4350528,100.0702417,99.8863393,100.5689029,101.8689182,101.7524541,99.30720506,104.1014765,103.7073363,110.6388038,115.3606888,115.088732,122.4672574,119.7935016,128.4397527,126.3714887,136.9579189,134.9396615,139.7074532,143.6250979,146.8257192,146.4984736,149.8197637,159.8120234,156.1533727,154.1231092,158.6737826,161.8775376,166.3321885
Daejinbyeo,4 ,103.3505902,97.49280627,104.5602087,103.3251952,104.8160953,100.3304837,97.89095669,97.11600471,102.3180862,99.41536155,100.0452565,100.8408757,97.44900689,95.34032422,93.15339481,93.86203211,95.07743851,93.88330272,89.70034748,93.06564738,88.71725384,91.06848282,91.17337517,92.06402789,92.26450053,97.11096137,95.26319968,95.61413033,95.75303575,96.54751591,99.19541168,102.0774375,98.80085063,98.43306471,96.78014965,98.14845899,101.7717273,103.5844579,103.4884348,107.42906,108.6455794,118.2015295,118.4027696,120.3604937,126.8499792,125.3159853,133.6436339,139.5997081,154.1680845,149.2595936,157.8024981,158.7409218,163.8377539,168.253359,171.782912,179.485608,175.3362644,174.6149504,177.2784679,178.35409,180.8765865
Jinpum,1 ,106.0607375,114.5287401,114.451371,116.0422294,113.0951059,116.2618335,110.395948,110.1197162,102.0596293,110.5063971,107.6082587,108.2613854,105.1317165,101.7209464,103.1142253,100.4595284,99.07805175,100.5710254,101.0955762,100.8932638,102.1607679,103.2635976,106.0442672,106.5514659,106.4479812,102.3101846,109.8743817,110.1126103,108.2114894,107.7362577,115.3683048,114.7049898,113.4138418,112.082966,108.5783856,109.1175219,115.4446424,112.5063766,115.5958596,120.9836856,117.5524702,126.2301388,129.2882682,128.6944326,133.5116699,131.5108719,134.8263844,137.839254,139.4183281,144.0438137,148.9147707,150.3044425,154.2031604,153.6538385,158.6442072,162.4955303,159.8217166,162.9029455,167.0422617,166.1269853,169.0307684
Jinpum,2 ,103.8625343,108.6641411,107.9967165,106.6690412,104.2859237,105.2159714,105.1301995,105.2897679,102.4700907,103.4665055,103.3246462,99.03212584,99.83323161,96.07095092,98.66678207,94.93480221,97.77112082,99.01562699,94.72241471,96.18932749,94.26252009,95.27407884,96.69010845,95.62563133,96.09655745,95.91180472,96.85653881,98.18402785,97.71001444,101.407372,106.6255598,108.2486718,105.425414,105.712786,103.4772191,103.615651,105.317518,104.5044243,107.3125363,108.1497242,107.5931513,113.3397504,118.2065576,115.7124689,120.1298778,118.4071772,120.1274334,121.3245019,130.0669942,125.6609556,127.2921835,128.1342854,134.6878095,134.4235415,138.8816561,142.5462099,140.740476,141.2385979,143.7209738,145.263311,148.3323282
Jinpum,3 ,105.86496,103.1377298,108.0514372,110.4151692,105.4747343,108.5803982,104.6697209,102.1921226,99.39026395,103.3172867,102.3350674,100.690548,102.0462645,97.5695579,96.00335915,98.64866487,94.68112296,96.20280356,94.66106497,98.19256012,94.62904602,97.26985958,98.55499053,101.559617,101.4414161,100.0619089,106.8810656,105.1300848,105.4495731,104.6769007,111.0478828,113.4073419,111.1920406,111.2510285,110.1024439,113.0598572,113.3641142,114.2361096,112.8633317,117.8427126,119.1201418,128.5002186,135.0947803,134.8179406,142.1701858,140.3689217,148.6435333,146.5797504,157.8819877,155.5048956,161.0124981,163.7687132,166.0170774,165.1987564,166.9243852,177.6578108,173.5663625,170.114069,175.0063321,175.530565,180.4209674
Jinpum,4 ,104.5582933,108.8920263,108.5635739,106.8362005,107.3509191,105.6530305,101.5368887,103.4899946,105.5326576,106.3824936,106.8422162,104.0784117,103.8327583,101.6431991,96.90865953,98.14038754,100.0572105,98.95647926,96.14179578,100.6273622,95.87807076,96.88137278,98.69569886,100.2369648,99.94625823,106.6454121,105.1524912,105.3226677,105.0059429,106.4293649,109.7632475,113.6019224,109.0293807,107.7811366,106.5122607,106.9977617,112.0386307,112.3839896,112.0274152,115.9004791,118.6330324,130.135747,130.5475559,131.4533587,138.506641,137.1160988,143.0166206,148.171658,158.7584741,151.6628303,160.6656384,159.4258527,162.559958,166.1195827,168.6258929,176.0195481,171.7929549,173.1544198,174.6415427,175.7112013,181.4193639
Sobi,1 ,110.0916643,109.1351258,110.9035649,108.7634045,107.6666877,107.5210987,104.2546915,102.6628949,100.3478399,105.6050122,105.8870612,106.1884167,103.71379,99.08982457,100.0084294,98.15193478,96.58874675,95.98743613,96.42865064,98.55247283,98.65317722,98.4624035,99.52417956,100.5975765,101.0781004,95.63021283,103.8162364,105.522273,104.9486572,103.4309667,108.8604234,107.9559649,108.5472827,106.0155119,103.8936284,105.0106894,111.6600394,108.7036538,112.4467925,118.5955684,121.6558965,131.6406531,135.4772543,135.1522027,141.6615014,142.257089,148.2447669,149.3394719,151.9404279,159.4470104,163.4527868,167.4406495,172.0018659,172.0595675,180.3666755,183.886592,180.6348604,184.8176462,188.0555952,188.2854841,190.5816432
Sobi,2 ,103.7765272,103.2052866,104.5633809,101.5346113,105.6407967,102.3044119,103.3167169,102.8588281,99.23892057,107.1753174,104.6660221,106.4934745,104.5032939,102.2502313,100.9275105,99.68926936,101.3974393,102.0613904,98.35592778,97.57846788,96.71786686,97.13759594,96.58959707,96.35917785,94.90646266,94.15465883,96.4972082,98.88606964,99.95840099,103.0991902,107.2482073,109.7148607,106.4096675,103.7395469,101.8696274,102.6628978,104.1777303,105.6073847,109.1530911,109.6713205,110.9207931,116.6369236,122.2300316,121.0917737,123.5783832,121.6637765,122.8233456,124.8393861,134.7830858,132.2400193,133.4159485,134.188741,143.1594451,140.6464183,146.912176,150.5389957,147.341364,148.8785999,150.7046969,153.7169127,157.2731663
Sobi,3 ,103.2596328,100.3763242,108.7837027,107.6647699,103.6342101,102.36556,102.2383158,97.90071495,97.39667363,99.99210904,101.7645446,97.79028882,101.0763152,96.3932902,96.1796132,98.72511105,95.06336411,96.57145584,94.66938762,97.54388482,93.22936373,94.74243087,95.58578179,98.07390005,98.1851628,96.99393037,103.4872142,101.9526848,103.5027687,103.2444654,108.3243482,110.9950624,108.5360924,106.5205911,108.2718211,110.2967566,111.7930066,113.1730666,110.4825425,116.4156939,117.8127541,128.1043522,134.7908059,136.5667504,145.0705468,143.8755604,151.0883799,152.2534707,162.5206932,161.06467,167.2346348,170.1003641,174.0287272,174.7110042,178.7367339,188.6394599,184.8953936,182.3356309,183.9038452,184.5803868,190.7055221
