Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,5968,11011,14360,22424,32323,51744,83061,86256,104838,151995,195199,248904,291698,361621,469728,528727,555598,621764,724971,863151,908986,959684,1040053,1144198,1179142,1215663,1273532,1324120,1385843,1441008,1453546,1426608,1424224,1479015,1518696,1607227,1606702,1605807,1647885,1689950,1685056,1688972,1666206,1622889,1600660,1597321,1586067,1599872,1581165,1574190,1560739,1598366,1612878,1645007,1637424,1660486,1680064,1692428,1672560,1644551,1620157
Samcheonbyeo,2,4360,6320,12789,23794,23962,35810,59118,77062,100945,137206,174382,199357,249982,275756,339300,414343,486020,544737,638310,714942,732407,820764,930400,1027011,1133538,1184029,1200153,1231991,1292910,1254879,1312079,1383667,1425539,1505328,1537352,1571843,1625004,1624828,1632814,1638451,1645853,1637876,1642352,1629157,1632834,1631404,1616367,1643847,1685290,1645396,1642872,1661753,1617305,1604069,1590191,1604887,1587419,1562638,1535237,1487687,1459340
Samcheonbyeo,3,8709,16681,21192,28352,39036,56914,75499,93236,117132,148073,191530,244565,277616,351312,431080,478220,512885,602971,684942,750204,835928,889938,983651,1066313,1144016,1187304,1233166,1330796,1356639,1403198,1472745,1543085,1573928,1586787,1587359,1681317,1700462,1699884,1700295,1677322,1688834,1730108,1719525,1716466,1724395,1731051,1749908,1730023,1785806,1779714,1799894,1784647,1799832,1809536,1783786,1779712,1781055,1790573,1732584,1702429,1644948
Samcheonbyeo,4,10233,14858,20875,31988,38597,66691,82096,128015,155019,223810,268558,311555,388200,483087,526309,599761,699500,788510,861742,963506,1020625,1122588,1221983,1294195,1382896,1417067,1461843,1485843,1514155,1539356,1582846,1569447,1599336,1629997,1643458,1684265,1671574,1682356,1667946,1682953,1679962,1661358,1646361,1636948,1645363,1656355,1646798,1640409,1669753,1657029,1708813,1742231,1757150,1772193,1732723,1763821,1724012,1711014,1670607,1631882,1586069
Keumobyeo 2ho,1,10901,16475,22658,35916,41947,67687,80510,118382,146470,180166,241029,292829,354258,420812,496254,539677,620901,684413,779505,885255,929678,1002438,1070203,1122432,1202805,1233630,1237738,1252744,1291895,1312444,1341899,1375066,1385783,1341806,1387877,1392988,1386077,1386678,1401477,1422617,1444275,1459355,1475440,1479227,1464732,1448427,1456161,1459650,1433338,1431919,1423665,1442083,1418419,1453103,1433130,1441509,1436967,1445206,1428657,1409215,1384169
Keumobyeo 2ho,2,12969,14794,26111,40519,56901,85399,108559,150591,169363,211833,255207,335414,403335,465642,593728,649126,737276,853370,945938,1031574,1113525,1142071,1198864,1317849,1332462,1347900,1342334,1348134,1406926,1413186,1441584,1431292,1470903,1468866,1508392,1543448,1529783,1548715,1551908,1557574,1574810,1576180,1548884,1543283,1552748,1555713,1542703,1539988,1539407,1532948,1533759,1531776,1522353,1493964,1509952,1499723,1509476,1474631,1467795,1463360,1468091
Keumobyeo 2ho,3,9674,16007,24396,36202,51085,68068,90643,125963,153525,207647,274071,327045,413296,470066,581159,641080,695198,765590,867287,984438,1049449,1089803,1190899,1257275,1322168,1344728,1413875,1447205,1440440,1479739,1485498,1582661,1584482,1629426,1685256,1735857,1731361,1735138,1726712,1746296,1761390,1771561,1731449,1722727,1725393,1707489,1702836,1686033,1684678,1695006,1714409,1679042,1657406,1672789,1651529,1648138,1628607,1630083,1633895,1639259,1627308
Keumobyeo 2ho,4,10173,13779,26316,37235,67551,87640,133877,166593,202112,253542,340058,425784,482839,586429,667934,777444,864871,943900,1071457,1159110,1251824,1286359,1353529,1413555,1476881,1503304,1522428,1530855,1565429,1604233,1662471,1671917,1675675,1706328,1769721,1775250,1810212,1849459,1879467,1892093,1905943,1920180,1916115,1893336,1911068,1882296,1872443,1871050,1853752,1873021,1888603,1907102,1883020,1867999,1887288,1908920,1896034,1878840,1847811,1783816,1783564
Undoobyeo,1,9004,12023,26856,34435,50732,70697,97590,129530,147208,202607,288010,359233,418291,502149,602091,704531,767565,919285,1005433,1124922,1233558,1301121,1334283,1399903,1512481,1575782,1671457,1724676,1754080,1799037,1825521,1829640,1874419,1845184,1861406,1867917,1837732,1843079,1799281,1801389,1767256,1679707,1685034,1661541,1656262,1629950,1627323,1622772,1590279,1573830,1554338,1546760,1542154,1511845,1489739,1468580,1444243,1427634,1399264,1375490,1302142
Undoobyeo,2,12677,16499,27789,35919,50509,60345,78313,103700,127934,204762,237115,301673,365743,442397,527554,594955,646063,714318,821505,894254,954905,1032751,1121703,1265854,1375639,1429222,1505028,1586554,1589638,1623414,1683300,1697018,1704909,1702432,1675528,1692598,1682746,1653815,1650475,1643140,1597929,1602635,1606440,1621209,1613275,1579129,1559463,1573961,1563512,1543925,1532423,1535820,1539533,1531125,1508188,1472193,1438177,1430905,1427808,1416915,1374873
