Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,29688.05654,31089.21096,53416.18695,52752.69837,77298.52762,89881.6877,121723.3826,136505.3423,169003.1494,186309.8173,219689.364,244520.7874,260592.1432,269725.2902,297078.0029,321702.3388,334603.5456,355075.7574,361895.8189,365544.2394,368426.5364,378193.8252,382583.5684,396844.0173,410866.0285,415430.3986,424899.655,444399.2885,450692.4363,466570.1625,490518.3802,512102.1986,546427.7732,567494.3716,582483.0281,581686.9709,587507.546,582223.769,593507.0318,610614.9503,611106.3004,623738.9533,636993.5204,647072.9591,667232.5768,685820.9434,701014.3536,700756.486,719602.897,734811.3871,745812.6773,753360.5776,751727.0047,749722.7313,742506.493,746076.7387,748377.9272,749156.9165,753459.5983,730453.7347,718041.4935
Samcheonbyeo,2,32197.89528,33436.42306,51696.20093,66000.66476,87892.30395,98508.69612,124914.9247,140311.2378,166239.305,185735.1381,223956.7444,242741.2783,272650.5296,287509.1814,318837.9902,348666.3756,360963.2316,368255.5765,381014.5786,385767.0247,388062.492,395296.276,410822.1519,414234.4462,429092.1418,439628.9943,455414.2257,464686.486,488406.0204,494708.5274,530378.9846,530807.4384,534452.1939,543495.7511,552301.0839,561113.6058,568385.4409,575138.9157,582470.2139,584660.7797,594469.2149,595753.9155,610004.7014,619307.7304,632978.7372,639856.8733,649459.9837,660642.2581,674259.0506,690942.2019,688194.041,692671.6767,705668.8992,708643.8583,704267.9378,730695.9233,730812.0261,723624.1511,717267.2929,701879.6191,702845.933
Samcheonbyeo,3,31719.89785,33806.86818,50552.39656,55566.66627,75924.50559,77497.56715,91797.92317,122396.6652,129465.9127,154907.8104,187189.4563,211236.4955,226909.3816,255785.7427,290762.9949,319010.0189,333551.117,345859.7017,352507.9323,355062.0666,366307.5702,374797.9387,381197.0281,401043.8838,405412.565,416713.2865,431377.6721,442601.7584,448497.6319,457794.9497,492796.7428,520344.4141,551518.6761,565801.9747,571031.1455,569158.23,579469.7799,582627.5871,588386.922,595986.6267,602682.4128,620465.9038,639619.4726,663844.7068,685858.6894,699096.2567,718878.4402,723066.8144,738046.9228,743433.3596,757289.4574,768615.2021,774705.8078,787690.2901,790385.046,809495.4892,817421.2398,808522.1973,791878.648,804681.5738,778445.608
Samcheonbyeo,4,35191.66356,40360.1255,55848.99081,70977.73025,80001.47858,103522.5931,124799.7118,152415.9174,169905.3552,197442.4016,215261.7501,255690.6166,275753.7321,303395.5154,327217.5987,361040.9636,373703.8443,382560.7119,387488.3153,385346.2117,387826.8617,398793.1544,397501.3835,407756.1363,412384.8228,432443.9679,445009.7819,461806.996,474608.9107,494343.9278,514503.2329,532090.7764,555654.6574,574968.4627,578549.7216,587658.837,583193.7397,595001.9705,614752.1859,619431.0738,628011.0362,639919.9166,638805.9508,653486.1361,664625.5723,676991.997,694229.7234,694868.3457,712830.7469,738170.7133,743045.6565,760302.1298,768795.1483,768413.5207,778564.4033,768119.2125,763651.3087,770393.4391,734718.7655,689532.7718,709383.3903
Keumobyeo 2ho,1,22919.68356,25303.10518,43793.30398,57638.96826,67669.92152,81335.92176,95058.24752,122160.9918,146449.0909,161332.8184,189165.9393,209218.1861,232973.9384,245997.795,278637.147,312379.13,335502.3788,345352.9061,355861.2486,361269.3775,375213.1425,397992.0021,413364.9006,433231.6263,445014.2126,467425.4171,487619.8838,503942.6359,520950.9327,528935.5478,552353.1089,570689.5005,579496.8419,597959.2025,614234.4791,620054.6342,639688.2908,654516.3675,670148.732,689521.1899,694259.5748,706091.6394,719026.4541,728596.4886,744177.5121,756863.6476,767487.8965,783580.8302,792214.8165,810261.8256,839663.1145,858383.9166,871592.5549,889543.1681,889318.3384,929357.9292,950410.7605,969059.8902,981455.7704,970456.6485,948315.2965
Keumobyeo 2ho,2,27291.06654,34775.60918,42002.38707,63645.3139,78773.02932,97474.79678,117719.4077,143717.7457,165219.1818,183567.3168,209794.5265,233329.31,258167.7902,274680.1546,294282.6476,327791.6569,347551.7058,354784.4915,370425.5751,380368.0134,394146.0253,409467.8554,432874.9858,457844.0379,468566.1313,478036.6176,490188.0805,511520.1199,536753.6573,558435.7583,566134.6821,585035.4368,600034.6899,607536.9764,626620.9304,635567.2805,652379.9057,666225.7466,673365.3583,684218.9003,690328.3225,701732.0151,709534.4939,726450.612,732642.9282,755067.9324,773718.4673,779270.1366,803377.4776,815508.3435,829796.2157,849904.4731,863442.9491,883623.4604,891525.8576,936149.0411,974018.9882,981111.9323,1002511.599,1007019.729,983376.7562
Keumobyeo 2ho,3,24434.91039,39502.88643,46800.7735,68590.53186,76114.66534,90478.04698,112425.8522,130437.1259,146993.2105,162115.5419,192323.9726,211668.1817,227080.8316,242041.7117,263008.8643,298325.966,322398.5657,326701.664,345082.373,356382.8427,364460.381,377838.2597,396697.8652,426759.8058,435249.4893,454745.9807,470712.8468,491306.8018,502537.8683,525173.3644,542816.9733,553845.709,583281.5359,618852.1036,632082.2907,633192.8756,654388.6192,677615.2339,686006.8933,694228.0267,705651.8133,717740.9977,725599.2572,740460.9598,747272.506,771705.3571,786139.2998,800440.7824,812552.5512,830537.5958,846694.5715,870669.279,893983.1454,914624.3341,908751.6428,936632.6702,959719.7934,956482.5899,955051.5522,963945.7879,967244.6215
Keumobyeo 2ho,4,28203.07092,36011.9751,45647.31966,62862.65171,76266.17298,87684.49466,107225.6041,138530.5763,151522.4326,171384.2908,197131.2425,228917.4581,243469.6315,255749.4979,284748.6762,314780.1215,320382.4009,333167.7265,341974.8332,357195.0061,376360.8417,393800.2647,402710.5205,428157.351,442430.5079,463287.4879,475730.2477,500225.4313,517589.317,520713.9197,545903.4202,565587.19,580666.1496,601754.4853,614381.5742,621403.9543,644758.3531,668147.5638,688790.2003,702517.8491,711756.9882,723203.248,728518.6049,751119.4829,770883.8078,779587.9025,807199.1246,824065.3788,827120.9444,857779.2257,865611.7108,891556.2595,898899.9177,895089.3852,913723.9123,944312.4153,955702.9454,967812.2388,975724.605,943386.7558,969701.3629
Undoobyeo,1,6468.54802,37204.58176,55491.62567,57810.00931,77589.77104,99828.10293,117376.2806,150667.1327,179151.62,151800.3042,238574.398,266975.9486,304403.2423,325977.2682,362891.6867,406547.8402,438196.6787,451101.8155,473851.382,439232.4276,473422.8255,489183.1211,508321.8516,524632.3531,528550.6792,533883.5753,543691.9608,559063.5825,583896.0962,602879.0773,616214.7471,636576.2328,634243.0908,639881.457,651035.0692,656833.155,660484.8267,662596.0551,676232.7114,700425.5401,693827.3125,718827.379,740060.4498,754096.4142,772117.8414,789284.1237,815721.2234,799777.4798,836948.9732,847121.0712,856515.921,846360.6407,840657.5993,829158.5082,785451.4286,753646.6503,735723.6375,710214.421,696244.3613,682373.4236,692869.7012
Undoobyeo,2,27332.15754,31733.42483,51338.48645,74671.61911,90699.28627,107223.4273,132732.9838,148854.0101,171275.2856,194043.1762,223115.5056,248393.1344,287248.7524,308773.6666,342533.4417,372014.6711,398137.3369,417782.6162,445715.3056,428883.8535,437690.583,454704.5209,439257.5797,466360.7678,483790.6382,494314.4491,504092.6641,536093.3514,565385.6931,586744.126,607059.3522,601404.9594,619278.6916,623385.8412,633192.4463,637407.3018,648315.333,654833.6157,674171.6375,687409.7582,706699.588,723807.3682,744025.6762,744503.2684,757419.7023,764185.2691,771444.3711,784591.3676,804928.5674,811748.0655,810046.751,824216.4622,828341.5133,823636.1709,812528.607,820180.0288,812455.0352,798460.2222,792600.3379,787690.2374,742832.6358
